City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,beaufort west,-32.3567,22.583,18.88,47,83,1.35,ZA,1713914944
129,santa terezinha,-29.9002,-50.0904,23.05,85,1,1.87,BR,1713914945
130,kheralu,23.8833,72.6167,24.18,57,0,3.93,IN,1713914947
131,puerto ayora,-0.7393,-90.3518,25.86,94,99,3.4,EC,1713914949
132,gunjur,13.2019,-16.7339,22.04,88,0,4.63,GM,1713914951
133,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,85,0,2.0,RU,1713914953
134,yellowknife,62.456,-114.3525,2.45,79,75,2.06,CA,1713914953
135,sisimiut,66.9395,-53.6735,1.14,92,94,1.74,GL,1713914956
136,abou el hassan,36.4166,1.1962,11.69,72,0,0.94,DZ,1713914957
137,lampazos de naranjo,27.0167,-100.5167,32.16,37,0,4.97,MX,1713914957
138,alofi,-19.0595,-169.9187,29.94,66,97,4.12,NU,1713914957
139,acarau,-2.8856,-40.12,26.0,87,46,3.5,BR,1713914959
140,saudarkrokur,65.7461,-19.6394,5.3,66,54,4.14,IS,1713914959
141,kununurra,-15.7667,128.7333,23.99,69,40,0.0,AU,1713914959
142,guerrero negro,27.9769,-114.0611,18.84,59,1,7.91,MX,1713914961
143,aasiaat,68.7098,-52.8699,-1.79,95,14,1.28,GL,1713914965
144,tralee,52.2704,-9.7026,8.98,90,93,2.1,IE,1713914797
145,bandarbeyla,9.4942,50.8122,28.13,80,24,2.05,SO,1713914970
146,chornomors'k,46.305,30.6548,10.73,97,100,5.08,UA,1713914814
147,bodo,67.28,14.405,3.21,74,20,3.09,NO,1713914971
148,kazerun,29.6195,51.6541,18.79,49,0,1.11,IR,1713914974
149,greymouth,-42.4667,171.2,13.07,82,100,0.55,NZ,1713914974
150,haiku-pauwela,20.9219,-156.3051,28.45,64,20,10.8,US,1713914974
151,cherdyn',60.403,56.4787,-0.21,75,100,5.03,RU,1713914977
152,maintirano,-18.0667,44.0167,26.18,85,5,3.79,MG,1713914977
153,elko,41.0002,-115.5012,21.01,30,94,4.92,US,1713914820
154,necochea,-38.5473,-58.7368,13.2,47,2,8.81,AR,1713914846
155,saint-georges,12.0564,-61.7485,28.82,74,20,6.17,GD,1713914979
156,vilyuchinsk,52.9306,158.4028,8.15,60,24,4.22,RU,1713914980
157,cape canaveral,28.4058,-80.6048,22.79,60,0,3.6,US,1713914953
158,sainte-catherine,46.3184,-72.5663,17.34,37,100,7.72,CA,1713914985
159,colonia,50.9333,6.95,6.65,77,75,2.57,DE,1713914910
160,dakhla,23.6848,-15.958,18.65,88,100,6.9,EH,1713914789
161,geraldton,-28.7667,114.6,20.23,37,99,10.8,AU,1713914990
162,nakkila,61.3667,22.0,-2.06,93,100,1.54,FI,1713914990
163,el abiodh sidi cheikh,32.893,0.5484,16.51,36,72,7.17,DZ,1713914991
164,wailua homesteads,22.0669,-159.378,27.24,76,40,8.23,US,1713914991
165,kimbe,-5.5502,150.1429,30.09,70,60,0.57,PG,1713914995
166,prado,-17.3411,-39.2208,25.57,84,1,2.18,BR,1713914995
167,ingeniero guillermo n. juarez,-23.9,-61.85,26.8,83,55,2.1,AR,1713914996
168,rwamagana,-1.9487,30.4347,20.69,99,100,1.24,RW,1713914997
169,saint-pierre,-21.3393,55.4781,23.82,73,0,3.6,RE,1713914998
170,klyuchi,52.2667,79.1667,0.73,52,27,2.97,RU,1713914797
171,limon,10.0,-83.0333,28.94,74,75,6.69,CR,1713914999
172,east london,-33.0153,27.9116,21.65,84,100,4.85,ZA,1713915000
173,damghan,36.1683,54.348,10.97,67,100,7.92,IR,1713915036
174,yanchep,-31.55,115.6833,15.07,54,100,6.91,AU,1713915038
175,fort st. john,56.2499,-120.8529,14.94,21,75,1.54,CA,1713915038
176,anadyr,64.75,177.4833,-8.72,92,100,16.0,RU,1713915038
177,cromer,52.9312,1.2989,6.0,71,97,10.28,GB,1713914843
178,puerto armuelles,8.2833,-82.8667,30.09,83,50,2.24,PA,1713915039
179,papatowai,-46.5619,169.4708,16.52,67,100,1.56,NZ,1713915040
180,altai,46.3722,96.2583,0.96,65,55,3.74,MN,1713915044
181,almeirim,-1.5233,-52.5817,24.15,97,60,1.51,BR,1713915047
182,labrador city,52.9463,-66.9114,-1.57,60,100,2.06,CA,1713915013
183,whistler,50.1164,-122.9695,15.66,44,98,2.61,CA,1713915052
184,berezniki,59.4152,56.8124,1.03,65,100,6.12,RU,1713915052
185,port saint john's,-31.6229,29.5448,21.39,89,84,3.57,ZA,1713915053
186,gaoyou,32.7858,119.4278,15.9,73,100,3.49,CN,1713915058
187,utrik,11.2278,169.8474,27.25,84,75,8.8,MH,1713915058
188,umm al quwain city,25.5647,55.5552,26.18,73,0,4.95,AE,1713915060
189,guercif,34.2257,-3.3536,15.46,62,0,5.05,MA,1713915061
190,remire-montjoly,4.9167,-52.2667,28.02,78,40,3.6,GF,1713915064
191,quepos,9.4236,-84.1652,28.74,73,76,1.59,CR,1713914833
192,queenstown,-31.8976,26.8753,13.5,86,51,0.5,ZA,1713915052
193,guapo,-16.8306,-49.5319,26.21,60,57,0.77,BR,1713915071
